ID,income,debt 1,debt 2,credit,age,edu,exp,red,loyalty
1,176,9.3,5.008608,11.359392,81,3,17,12,1
2,31,17.3,4.000798,1.362202,27,1,10,6,0
3,,5.5,2.168925,0.856075,40,1,15,7,0
4,120,2.9,,2.65872,41,,15,14,0
5,28,17.3,3.056564,1.787436,24,2,2,0,1
6,25,10.2,2.1573,0.3927,41,2,5,5,0
7,,30.6,16.668126,3.833874,39,1,20,9,0
8,38,3.6,1.239408,0.128592,,1,12,11,0
9,19,24.4,3.277652,1.358348,24,1,3,4,1
10,25,19.7,2.1473,2.7777,36,1,0,13,0
11,16,1.7,0.089488,0.182512,70,1,0,1,0
12,23,5.2,,0.252356,25,1,4,0,0
13,64,10,2.4704,3.9296,52,1,24,14,0
14,29,16.3,3.011099,1.715901,37,1,6,9,0
15,100,9.1,5.3963,3.7037,48,1,22,15,0
16,49,8.6,3.396484,0.817516,36,2,9,6,1
17,41,16.4,3.805784,2.918216,36,2,13,6,1
18,72,7.6,4.290048,1.181952,43,1,23,19,0
19,61,5.7,2.913726,0.563274,39,1,6,9,0
20,26,1.7,0.342992,0.099008,,,0,21,0
21,52,3.2,0.509184,1.154816,39,1,22,3,0
22,43,5.6,1.820448,0.587552,47,1,17,21,0
23,26,10,2.1684,0.4316,28,1,3,6,0
24,27,9.8,2.243808,0.402192,29,1,8,6,0
25,16,18,2.63808,0.24192,21,,1,2,1
26,,17.6,3.49184,2.14016,25,4,0,2,0
27,69,6.7,,0.707319,45,2,9,26,0
28,64,16.7,,0.951232,43,1,25,21,0
29,58,18.4,7.587792,3.084208,33,2,12,8,0
30,37,14.2,5.049094,0.204906,26,3,2,1,0
31,20,2.1,0.315,0.105,45,1,3,15,0
32,22,10.5,1.17117,1.13883,30,1,1,10,0
33,26,6,0.83772,0.72228,27,,2,7,0
34,27,14.4,2.869344,1.018656,25,1,8,4,0
35,35,2.9,0.93786,0.07714,25,1,8,1,0
36,45,26,5.6511,6.0489,26,2,6,7,0
37,22,16.1,2.132284,1.409716,30,2,10,4,0
38,,14.4,4.580064,3.195936,32,2,12,1,0
39,24,17.1,2.766096,1.337904,28,,1,8,1
40,50,4.2,1.5414,0.5586,45,1,23,5,0
41,31,6.6,1.70841,0.33759,23,1,7,2,0
42,59,8,2.91224,1.80776,34,1,17,3,0
43,41,4.6,0.944886,0.941114,42,2,7,23,0
44,48,13.1,4.357584,1.930416,39,1,19,5,0
45,14,7.5,0.7476,0.3024,26,1,0,0,1
46,16,6.8,,0.150144,21,2,0,1,0
47,35,4.5,,0.43155,35,1,13,15,0
48,26,10.4,,0.12168,47,1,4,2,0
49,21,11.4,1.618344,0.775656,23,2,0,2,1
50,42,7.4,2.902872,0.205128,35,1,18,2,0
51,25,12.6,2.5767,0.5733,34,1,2,11,1
52,20,14,1.9908,0.8092,46,1,1,12,0
53,52,12.9,3.675984,3.032016,46,1,16,18,1
54,25,3.7,0.613275,0.311725,38,,3,18,0
55,28,9.5,2.10672,0.55328,40,2,3,2,0
56,24,15.1,1.822872,1.801128,37,1,1,3,1
57,34,5,1.3022,0.3978,35,1,9,1,0
58,69,2.4,0.594504,1.061496,,2,16,13,0
59,100,2.5,1.015,1.485,40,3,18,6,0
60,80,12.2,7.28096,2.47904,50,3,10,20,0
61,28,2.4,0.624288,0.047712,31,1,9,10,0
62,42,7.4,1.650348,1.457652,29,1,13,1,1
63,23,12.4,1.98214,0.86986,37,1,4,0,0
64,55,7,1.69015,2.15985,33,2,4,9,0
65,28,7.8,1.159704,1.024296,,2,5,7,0
66,,23.3,9.7161,7.7589,32,2,11,6,1
67,23,6.4,1.285056,0.186944,28,2,2,3,1
68,46,9.1,1.670214,2.515786,39,1,19,8,0
69,31,8.2,1.049846,1.492154,28,2,8,3,1
70,20,18.6,3.15084,0.56916,29,1,1,2,1
71,21,23.1,,1.401939,34,2,3,8,0
72,34,23.8,,3.099236,28,2,5,9,0
73,100,12.8,,4.5824,47,1,26,21,0
74,,10.6,1.237444,1.518556,43,3,1,5,0
75,44,1.7,0.67694,0.07106,41,1,13,10,0
76,51,23.8,8.399496,3.738504,47,1,13,25,0
77,21,0.6,0.100926,0.025074,24,1,2,1,0
78,17,6.7,0.981818,0.157182,29,1,1,9,0
79,37,2.6,0.762866,0.199134,33,1,14,2,0
80,39,3.2,0.5616,0.6864,36,1,15,10,0
81,27,10.5,0.36288,2.47212,26,1,4,3,1
82,45,17,4.9113,2.7387,31,1,11,12,0
83,32,19.6,3.57504,2.69696,37,1,7,3,0
84,29,11,1.34618,1.84382,35,4,4,16,0
85,20,5.4,0.7614,0.3186,26,1,4,3,0
86,45,18.8,6.44652,2.01348,40,1,10,15,0
87,36,12.4,0.973152,3.490848,29,2,5,4,1
88,29,24.6,5.728602,1.405398,37,3,5,17,0
89,28,2.9,0.695884,0.116116,32,1,12,12,0
90,17,27.7,2.665294,2.043706,23,2,0,1,1
91,23,6.2,1.373238,0.052762,32,1,3,10,0
92,15,11.4,1.33893,0.37107,25,1,1,6,1
93,54,10.6,4.224312,1.499688,38,1,5,5,0
94,18,5.8,0.747504,0.296496,32,2,0,6,1
95,15,26.3,,1.960665,41,3,2,0,1
96,,4.4,1.648944,0.727056,36,1,17,6,0
97,82,3.3,1.390884,1.315116,42,,13,0,0
98,52,7.3,2.869776,0.926224,41,1,14,8,0
99,19,6.3,0.515907,0.681093,29,2,4,9,0
100,31,9.3,1.551054,1.331946,38,3,4,6,1
101,113,2.6,1.950832,0.987168,39,1,22,9,0
102,26,8.3,2.127788,0.030212,36,1,6,9,0
103,27,5.8,0.789264,0.776736,33,1,8,7,0
104,121,3.1,2.385636,1.365364,42,2,21,11,0
105,75,23.6,7.8234,9.8766,41,2,22,17,0
106,28,3.6,0.47376,0.53424,40,1,8,17,0
107,50,11.2,3.584,2.016,53,1,9,18,1
108,26,13.5,2.21481,1.29519,28,1,4,7,0
109,60,7.9,3.01938,1.72062,36,2,12,13,0
110,45,10.1,3.42693,1.11807,34,2,9,13,0
111,39,4.9,1.45236,0.45864,45,3,2,5,0
112,41,8.9,3.382623,0.266377,38,1,6,0,0
113,24,7.7,1.014552,0.833448,21,3,0,2,0
114,51,21.4,8.502006,2.411994,42,,12,11,0
115,64,8.6,3.638144,1.865856,,1,16,25,0
116,33,5.2,1.163448,0.552552,25,2,4,6,0
117,65,6.2,1.92231,2.10769,34,2,9,9,0
118,73,3.4,1.449488,1.032512,40,2,15,16,0
119,27,12.8,2.36736,1.08864,31,2,0,4,1
120,20,6.7,0.86832,0.47168,25,1,1,0,1
121,37,9.5,2.17227,1.34273,45,1,12,19,0
122,19,8.4,1.3167,0.2793,23,1,3,0,1
123,27,35.3,7.548552,1.982448,34,4,6,3,1
124,22,12.7,1.701546,1.092454,31,1,2,4,1
125,22,2.8,0.475552,0.140448,28,1,5,9,0
126,43,4.4,1.197636,0.694364,41,1,7,11,0
127,68,13,7.8234,1.0166,39,2,7,2,1
128,36,1.4,,0.127008,29,2,9,3,0
129,25,9,1.88325,0.36675,21,1,5,1,0
130,68,5.8,,1.506608,41,2,19,2,0
131,27,2.9,0.471366,0.311634,26,4,1,7,0
132,18,12.9,1.337472,0.984528,33,1,5,10,0
133,35,17.4,5.5419,0.5481,45,2,18,19,0
134,60,13.7,5.77044,2.44956,39,1,17,20,0
135,21,6.3,0.803061,0.519939,24,1,7,2,0
136,57,2.2,,0.452694,29,2,6,7,0
137,23,12.4,2.5668,0.2852,27,2,1,0,0
138,28,5.9,0.687232,0.964768,40,,13,2,0
139,,6.7,1.138464,0.469536,29,1,8,10,0
140,37,6.6,1.28205,1.15995,,2,4,3,1
141,16,16,1.55136,1.00864,24,1,0,2,1
142,45,17.8,5.15844,2.85156,27,1,9,6,1
143,135,4.4,4.6629,1.2771,41,3,16,22,0
144,25,9.1,2.13395,0.14105,31,1,11,8,0
145,68,5.4,3.224016,0.447984,41,1,16,17,0
146,41,3.4,1.03853,0.35547,42,2,5,3,0
147,26,12.4,2.846792,0.377208,28,4,1,3,0
148,25,10,0.73,1.77,30,4,2,8,0
149,33,8.4,2.090088,0.681912,30,1,11,1,0
150,44,8,1.79872,1.72128,31,1,8,4,0
151,51,18.1,7.680192,1.550808,45,2,15,14,0
152,76,6.1,2.484896,2.151104,43,1,13,23,1
153,23,16.3,2.421854,1.327146,36,1,4,10,0
154,30,7.2,1.54656,0.61344,28,1,8,6,0
155,33,13.2,2.7225,1.6335,27,2,3,5,0
156,39,19.2,,2.800512,36,3,13,3,0
157,32,11.3,1.511488,2.104512,33,1,12,11,0
158,28,14.8,2.585856,1.558144,54,1,9,2,1
159,,13.8,2.653326,1.348674,33,1,9,4,1
160,26,4.5,0.85995,0.31005,31,1,9,5,0
161,26,8.9,0.893204,1.420796,21,1,4,0,0
162,44,8.7,3.054744,0.773256,28,3,5,9,0
163,26,6.8,1.48512,0.28288,31,2,2,1,1
164,26,4.1,0.739804,0.326196,32,1,8,6,0
165,24,12.5,2.409,0.591,35,2,1,8,1
166,102,18.9,,6.226794,40,2,13,11,1
167,24,15.6,2.107872,1.636128,22,1,4,2,1
168,38,6.5,1.29181,1.17819,39,1,4,9,0
169,44,1.7,0.394944,0.353056,41,4,14,3,0
170,79,4,1.42516,1.73484,34,1,16,9,0
171,22,9.7,1.583428,0.550572,29,1,7,9,0
172,28,11.3,2.872912,0.291088,31,1,4,10,0
173,20,4.8,0.64512,0.31488,32,1,1,0,1
174,73,8.8,2.672384,3.751616,,1,14,7,0
175,21,7.5,1.008,0.567,33,1,6,14,0
176,22,10.3,1.545412,0.720588,26,1,6,0,0
177,18,17.3,2.955186,0.158814,21,1,1,1,0
178,34,7,2.02062,0.35938,28,2,7,2,0
179,24,8.9,1.533648,0.602352,37,1,13,5,0
180,35,22.9,5.891025,2.123975,33,2,2,14,1
181,46,5,1.7388,0.5612,39,1,12,10,0
182,57,5.6,2.3142,0.8778,40,2,8,19,0
183,80,3,1.488,0.912,45,3,16,21,0
184,34,6.5,1.35915,0.85085,27,1,10,6,0
185,29,24.2,5.593346,1.424654,28,4,0,7,0
186,27,8,1.19448,0.96552,,1,13,9,0
187,43,15,3.65715,2.79285,40,1,14,21,1
188,,16.9,4.82664,4.63736,27,1,11,8,0
189,16,9.3,1.054992,0.433008,36,1,1,4,0
190,78,15.6,7.763184,4.404816,55,1,19,2,0
191,22,13.2,1.817904,1.086096,27,2,4,3,1
192,17,11,,0.74613,30,1,1,8,0
193,28,11.2,2.32064,0.81536,36,1,10,0,1
194,21,2.5,0.2478,0.2772,31,1,1,6,1
195,40,7.2,2.69856,0.18144,33,2,13,2,0
196,33,4.2,0.885654,0.500346,30,1,4,0,0
197,18,5.9,0.82305,0.23895,24,1,1,0,1
198,28,4.3,0.827148,0.376852,33,4,9,10,0
199,47,6.9,2.844111,0.398889,,1,8,27,0
200,32,23.1,4.050816,3.341184,31,2,6,6,1
201,19,4.1,0.518035,0.260965,28,1,3,7,0
202,88,6.1,5.083496,0.284504,,3,8,10,1
203,45,9.8,3.43539,0.97461,60,4,3,23,0
204,30,9.7,2.58117,0.32883,36,2,0,17,0
205,63,5.5,2.893275,0.571725,29,3,7,1,0
206,116,6,4.39872,2.56128,40,3,17,11,0
207,26,6,1.01712,0.54288,65,1,7,6,0
208,30,1,0.1563,0.1437,26,2,6,6,0
209,81,7.2,4.047408,1.784592,36,1,14,11,0
210,35,1.9,0.579215,0.085785,26,2,6,0,0
211,116,12.1,12.42186,1.61414,40,3,16,6,0
212,48,9,2.35008,1.96992,44,1,5,3,1
213,30,4.5,1.07055,0.27945,29,3,1,10,0
214,37,5.4,1.416582,0.581418,35,3,5,3,1
215,75,10.4,,3.9546,34,,16,3,0
216,47,6.7,1.848463,1.300537,34,3,12,8,0
217,35,10.2,2.22054,1.34946,46,1,14,25,0
218,145,12.2,14.45273,3.23727,41,2,21,22,0
219,30,4,0.7524,0.4476,,2,7,8,1
220,70,8,3.9816,1.6184,27,4,0,6,1
221,24,2.4,0.468864,0.107136,28,1,11,6,0
222,19,10.8,1.202472,0.849528,48,3,0,27,0
223,113,12,10.18356,3.37644,48,3,17,26,0
224,70,19.9,10.75396,3.17604,29,3,5,6,1
225,60,20.4,8.2008,4.0392,43,2,9,5,1
226,17,7.9,1.040825,0.302175,23,1,5,2,0
227,44,18.1,4.26074,3.70326,29,2,10,8,0
228,75,1.9,0.540075,0.884925,40,4,5,6,0
229,20,5.6,0.9128,0.2072,22,2,0,3,0
230,22,14.4,,0.849024,23,1,7,3,0
231,60,15.3,7.5735,1.6065,46,3,9,10,0
232,40,8,2.6368,0.5632,55,1,3,11,1
233,38,0.6,0.198588,0.029412,38,2,8,16,0
234,33,2.8,0.820512,0.103488,35,2,5,1,0
235,27,0.9,0.169128,0.073872,30,1,11,9,0
236,18,6.5,0.6435,0.5265,24,1,7,0,0
237,28,9.5,2.4339,0.2261,,2,4,3,0
238,15,9.1,1.246245,0.118755,32,2,2,11,1
239,75,3.5,1.992375,0.632625,37,2,11,4,0
240,42,19.9,5.817168,2.540832,39,1,6,19,1
241,21,18.3,3.351096,0.491904,30,,4,4,0
242,39,9.5,,2.056275,30,1,10,11,0
243,32,4.3,0.94256,0.43344,32,2,7,10,0
244,118,14.4,7.39152,9.60048,54,3,21,20,0
245,35,13.3,3.05368,1.60132,27,3,3,4,0
246,31,23.7,,2.05716,31,1,12,4,0
247,39,1.8,0.562302,0.139698,39,1,15,16,0
248,25,14.1,2.34765,1.17735,31,1,5,3,0
249,40,18.5,6.1864,1.2136,35,1,15,11,0
250,98,13.3,8.159284,4.874716,35,2,10,16,0
251,144,11.1,12.659328,3.324672,46,2,22,17,0
252,52,21.3,8.36238,2.71362,33,1,13,3,1
253,105,1.9,,1.418445,,2,13,3,0
254,21,7.9,1.289043,0.369957,35,2,1,1,0
255,21,9,1.44018,0.44982,38,1,5,13,0
256,,7.8,5.234112,2.253888,41,1,19,1,0
257,44,4.5,1.37412,0.60588,38,1,18,19,0
258,39,13.2,4.005144,1.142856,34,3,2,14,0
259,82,4.4,1.003024,2.604976,51,3,16,25,0
260,33,9.5,2.561295,0.573705,34,2,10,2,0
261,30,24.5,,2.21235,47,1,15,1,0
262,78,5.4,2.055456,2.156544,34,2,8,6,0
263,18,11.9,1.741446,0.400554,27,2,8,7,0
264,24,19.2,3.806208,0.801792,52,1,9,11,1
265,35,5,1.51725,0.23275,39,1,9,6,0
266,22,6.4,0.777216,0.630784,33,1,7,0,0
267,21,7.2,1.324512,0.187488,34,1,0,1,0
268,59,14.6,5.504346,3.109654,31,3,9,7,1
269,16,15.2,1.561344,0.870656,28,1,2,9,0
270,45,3.7,0.74925,0.91575,39,1,19,16,0
271,120,7.6,4.97952,4.14048,51,2,22,23,0
272,16,1.2,0.10752,0.08448,22,1,4,1,0
273,26,10.4,,0.930176,27,3,6,4,0
274,38,21,7.28574,0.69426,32,1,16,10,0
275,38,7.2,1.961712,0.774288,28,2,6,7,0
276,20,10.3,1.68302,0.37698,27,2,1,0,1
277,24,13.6,1.687488,1.576512,26,2,2,6,1
278,,2.4,0.590976,0.273024,32,1,14,0,0
279,17,3.7,0.18241,0.44659,30,1,0,11,1
280,38,8.9,1.484698,1.897302,39,1,13,1,0
281,,4.8,0.998592,0.345408,31,1,11,6,1
282,39,24.7,5.259618,4.373382,34,1,15,2,1
283,41,12.6,5.031684,0.134316,31,1,8,3,0
284,25,10.4,2.0306,0.5694,29,2,1,7,0
285,25,13.9,2.4047,1.0703,29,1,9,0,0
286,30,7.6,1.6302,0.6498,35,2,9,16,0
287,32,6,0.99264,0.92736,29,1,11,7,0
288,22,22.7,3.785452,1.208548,38,2,2,16,1
289,36,3.4,1.045296,0.178704,35,1,16,15,0
290,36,6.1,1.486692,0.709308,29,1,11,5,0
291,34,4.4,1.2342,0.2618,23,2,3,4,0
292,32,5.5,1.26368,0.49632,33,,9,8,0
293,159,2.8,3.38352,1.06848,51,2,19,25,0
294,21,2.6,0.446628,0.099372,24,1,4,2,0
295,49,9.8,1.565452,3.236548,31,1,10,12,1
296,52,5.4,1.875744,0.932256,45,1,10,14,0
297,17,9,1.06029,0.46971,29,1,3,1,0
298,20,17.1,1.37142,2.04858,34,1,0,10,0
299,27,5,0.80055,0.54945,25,2,4,5,1
300,56,1.9,0.52136,0.54264,37,1,20,2,0
301,129,25.3,,20.56131,47,1,29,18,1
302,54,9.6,,0.62208,43,2,6,24,0
303,81,5.5,2.94921,1.50579,47,1,22,19,0
304,21,5.2,0.983892,0.108108,24,1,6,2,0
305,75,6.3,2.518425,2.206575,27,3,5,1,0
306,18,1.2,0.15012,0.06588,25,1,9,4,0
307,44,14.7,6.021708,0.446292,36,3,11,12,0
308,57,19.4,9.498822,1.559178,,1,16,20,0
309,25,7.1,0.4686,1.3064,26,1,10,1,0
310,25,10.1,1.4645,1.0605,41,1,4,19,0
311,60,27.1,,9.5934,39,,19,15,1
312,54,12.1,1.940598,4.593402,37,1,18,8,0
313,14,14.4,,0.586656,29,1,2,0,1
314,31,11.6,2.57114,1.02486,42,1,6,9,0
315,29,11.1,2.153511,1.065489,31,4,1,6,0
316,17,17.3,2.420443,0.520557,36,1,4,15,0
317,52,20,6.24,4.16,39,1,16,4,0
318,23,6.7,1.072536,0.468464,23,4,0,2,0
319,33,7,1.91268,0.39732,39,1,4,15,0
320,40,3.1,0.95604,0.28396,27,3,4,1,1
321,24,5,0.8184,0.3816,24,1,8,4,0
322,45,11,4.65795,0.29205,27,3,3,4,1
323,49,1.6,0.3528,0.4312,41,1,16,22,0
324,23,8.1,0.965034,0.897966,38,1,0,8,1
325,35,16.4,4.15576,1.58424,40,2,5,12,1
326,120,26.5,17.2038,14.5962,54,1,25,12,1
327,89,17.4,12.714006,2.771994,40,1,12,6,0
328,32,3.7,0.330336,0.853664,40,1,2,4,0
329,31,8,2.32376,0.15624,29,1,1,8,0
330,23,12,1.99824,0.76176,30,1,8,6,0
331,18,1.1,0.168102,0.029898,29,1,1,1,0
332,,2.4,0.9408,0.2592,29,3,3,3,1
333,41,2.5,0.5658,0.4592,28,4,2,4,1
334,38,10.4,3.315728,0.636272,28,4,0,5,0
335,89,14.3,7.725289,5.001711,39,2,16,9,0
336,53,3.3,1.659801,0.089199,32,1,11,2,0
337,43,15.4,3.9732,2.6488,36,2,7,16,0
338,39,8.2,2.424084,0.773916,39,1,20,12,0
339,47,19.8,3.731706,5.574294,28,3,6,8,1
340,28,14.2,3.53864,0.43736,28,1,4,2,1
341,31,12.2,1.79645,1.98555,46,1,6,19,0
342,15,6.5,0.624975,0.350025,30,,4,8,0
343,32,4.9,,0.421792,39,2,15,19,0
344,220,16,27.0336,8.1664,40,3,5,3,1
345,74,13.4,,4.521696,44,2,18,4,0
346,19,16.6,2.529508,0.624492,30,1,0,8,1
347,19,4.3,0.458337,0.358663,24,2,3,0,0
348,32,11.3,2.448032,1.167968,32,1,10,13,0
349,15,2.6,0.24336,0.14664,29,2,3,8,0
350,36,3.8,1.090296,0.277704,40,2,2,1,0
351,43,0.7,0.215215,0.085785,41,2,8,21,0
352,,18.6,2.35569,0.80631,22,1,1,3,0
353,34,1.2,0.371688,0.036312,,1,10,8,0
354,62,8.5,4.08425,1.18575,37,2,6,13,0
